"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.08410 0.1235 0.1235
0.08420 0.1223 0.1223
0.08430 0.1229 0.1229
0.08440 0.1223 0.1223
0.08450 0.1223 0.1223
0.08460 0.1217 0.1217
0.08470 0.1217 0.1217
0.08480 0.1211 0.1211
0.08490 0.1223 0.1223
0.08500 0.1217 0.1217
0.08510 0.1211 0.1211
0.08520 0.1217 0.1217
0.08530 0.1223 0.1223
0.08540 0.1211 0.1211
0.08550 0.1211 0.1211
0.08560 0.1217 0.1217
0.08570 0.1217 0.1217
0.08580 0.1217 0.1217
0.08590 0.1217 0.1217
0.08600 0.1217 0.1217
0.08610 0.1217 0.1217
0.08620 0.1217 0.1217
0.08630 0.1211 0.1211
0.08640 0.1229 0.1229
0.08650 0.1229 0.1229
0.08660 0.1217 0.1217
0.08670 0.1193 0.1193
0.08680 0.1187 0.1187
0.08690 0.1199 0.1199
0.08700 0.1187 0.1187
0.08710 0.1181 0.1181
0.08720 0.1193 0.1193
0.08730 0.1205 0.1205
0.08740 0.1235 0.1235
0.08750 0.1199 0.1199
0.08760 0.1199 0.1199
0.08770 0.1205 0.1205
0.08780 0.1187 0.1187
0.08790 0.1193 0.1193
0.08800 0.1176 0.1176
0.08810 0.1211 0.1211
0.08820 0.1187 0.1187
0.08830 0.1176 0.1176
0.08840 0.1182 0.1182
0.08850 0.1187 0.1187
0.08860 0.1193 0.1193
0.08870 0.1187 0.1187
0.08880 0.1176 0.1176
0.08890 0.1193 0.1193
0.08900 0.1193 0.1193
0.08910 0.1182 0.1182
0.08920 0.1181 0.1181
0.08930 0.1199 0.1199
0.08940 0.1211 0.1211
0.08950 0.1182 0.1182
0.08960 0.1193 0.1193
0.08970 0.1199 0.1199
0.08980 0.1188 0.1188
0.08990 0.1205 0.1205
0.09000 0.1176 0.1176
0.09010 0.1176 0.1176
0.09020 0.1181 0.1181
0.09030 0.1211 0.1211
0.09040 0.1176 0.1176
0.09050 0.1223 0.1223
0.09060 0.1241 0.1241
0.09070 0.1211 0.1211
0.09080 0.1199 0.1199
0.09090 0.1193 0.1193
0.09100 0.1199 0.1199
0.09110 0.1181 0.1181
0.09120 0.1188 0.1188
0.09130 0.1199 0.1199
0.09140 0.1199 0.1199
0.09150 0.1199 0.1199
0.09160 0.1181 0.1181
0.09170 0.1217 0.1217
0.09180 0.1193 0.1193
0.09190 0.1199 0.1199
0.09200 0.1241 0.1241
0.09210 0.1229 0.1229
0.09220 0.1182 0.1182
0.09230 0.1199 0.1199
