"number" "dsum" "count" "missing" "quant_error" "fname"
117 704036. 704036 12455722 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_longicaudata.tif"
118 62323.0 62323 13097435 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_mergulus.tif"
119 705306. 705306 12454452 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_parvula.tif"
120 563005. 563005 12596753 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_principula.tif"
121 220569. 220569 12939189 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_pusilla.tif"
122 306091. 306091 12853667 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_soricoides.tif"
123 453216. 453216 12706542 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_taiva.tif"
124 270746. 270746 12889012 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_thomasi.tif"
125 29786.0 29786 13129972 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Mirza_coquereli.tif"
126 947.0 947 13158811 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Monias_benschi.tif"
127 1051.0 1051 13158707 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Monticola_erythronotus.tif"
128 1.25545e+06 1255450 11904308 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Monticola_sharpei.tif"
129 1194.0 1194 13158564 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Monticolomys_koopmani.tif"
130 229257. 229257 12930501 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Motacilla_flaviventris.tif"
131 526153. 526153 12633605 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Mystacornis_crossleyi.tif"
132 329902. 329902 12829856 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Neodrepanis_coruscans.tif"
133 993.0 993 13158765 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Neodrepanis_hypoxantha.tif"
134 649851. 649851 12509907 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Neomixis_striatigula.tif"
135 1.12416e+06 1124162 12035596 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Neomixis_tenella.tif"
136 596685. 596685 12563073 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Neomixis_viridis.tif"
137 31048.0 31048 13128710 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Nesillas_lantzii.tif"
138 782603. 782603 12377155 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Nesogale_dobsoni.tif"
139 718805. 718805 12440953 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Nesogale_talazaci.tif"
140 48956.0 48956 13110802 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Nesomys_audeberti.tif"
141 10577.0 10577 13149181 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Nesomys_lambertoni.tif"
142 524473. 524473 12635285 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Nesomys_rufus.tif"
143 474207. 474207 12685551 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Newtonia_amphichroa.tif"
144 23623.0 23623 13136135 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Newtonia_archboldi.tif"
145 1.42426e+06 1424264 11735494 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Newtonia_brunneicauda.tif"
146 1136.0 1136 13158622 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Newtonia_fanovanae.tif"
147 158990. 158990 13000768 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Oriolia_bernieri.tif"
148 735175. 735175 12424583 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Oryzorictes_hova.tif"
149 118763. 118763 13040995 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Oryzorictes_tetradactylus.tif"
150 1.23966e+06 1239657 11920101 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Otus_rutilus.tif"
151 596383. 596383 12563375 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Oxylabes_madagascariensis.tif"
152 188.0 188 13159570 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Phaner_electromontis.tif"
153 9866.0 9866 13149892 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Phaner_furcifer.tif"
154 39056.0 39056 13120702 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Phaner_pallescens.tif"
155 265.0 265 13159493 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Phaner_parienti.tif"
156 428249. 428249 12731509 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Philepitta_castanea.tif"
157 47305.0 47305 13112453 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Philepitta_schlegeli.tif"
158 690328. 690328 12469430 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Ploceus_nelicourvi.tif"
159 514356. 514356 12645402 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Ploceus_sakalava.tif"
160 1.41426e+06 1414261 11745497 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Polyboroides_radiatus.tif"
161 464442. 464442 12695316 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Pseudobias_wardi.tif"
162 79617.0 79617 13080141 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Pterocles_personatus.tif"
163 161388. 161388 12998370 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Rallus_madagascariensis.tif"
164 518063. 518063 12641695 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Randia_pseudozosterops.tif"
165 856541. 856541 12303217 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Sarothrura_insularis.tif"
166 332586. 332586 12827172 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Schetba_rufa.tif"
167 1.35612e+06 1356120 11803638 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Setifer_setosus.tif"
168 1.48066e+06 1480660 11679098 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Tenrec_ecaudatus.tif"
169 39071.0 39071 13120687 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Thamnornis_chloropetoides.tif"
170 1.36544e+06 1365438 11794320 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Treron_australis.tif"
171 1.54051e+06 1540509 11619249 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Turnix_nigricollis.tif"
172 672829. 672829 12486929 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Tylas_eduardi.tif"
173 1.50419e+06 1504186 11655572 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Vanga_curvirostris.tif"
174 825534. 825534 12334224 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Varecia_rubra.tif"
175 813479. 813479 12346279 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Varecia_variegata.tif"
176 780.0 780 13158978 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Xanthomixis_apperti.tif"
177 195490. 195490 12964268 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Xanthomixis_cinereiceps.tif"
178 702655. 702655 12457103 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Xanthomixis_zosterops.tif"
179 1024.0 1024 13158734 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Xenopirostris_damii.tif"
180 197577. 197577 12962181 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Xenopirostris_polleni.tif"
181 12639.0 12639 13147119 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Xenopirostris_xenopirostris.tif"
