removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1814,18,prune,90,1000,89.7690539204307,1793108,160587.177763266,0.840881742475898,0.839235792618333,339306,30762.1178408333
1815,18,prune,91,1000,89.6448814090824,1794108,160676.822644675,0.841350694564939,0.839704280788755,338306,30672.4729594242
1816,18,prune,92,1000,89.801831488187,1795108,160766.624476163,0.84181964665398,0.840173589187329,337306,30582.671127936
1817,18,prune,93,1000,89.7371103386876,1796108,160856.361586502,0.842288598743021,0.840642559350273,336306,30492.9340175973
1818,18,prune,94,1000,89.6522788894799,1797108,160946.013865391,0.842757550832062,0.841111086180259,335306,30403.2817387078
1819,18,prune,95,1000,89.8096187576789,1798108,161035.823484149,0.843226502921103,0.841580435275452,334306,30313.4721199502
1820,18,prune,96,1000,90.1103413098377,1799108,161125.933825459,0.843695455010144,0.84205135596019,333306,30223.3617786403
1821,18,prune,97,1000,90.1461234027975,1800108,161216.079948862,0.844164407099184,0.842522463643749,332306,30133.2156552375
1822,18,prune,98,1000,90.184496829866,1801108,161306.264445691,0.844633359188225,0.842993771868559,331306,30043.0311584077
1823,18,prune,99,1000,90.1248493729761,1802108,161396.389295064,0.845102311277266,0.843464768373085,330306,29952.9063090347
1824,18,prune,100,1000,89.9955310005621,1803108,161486.384826065,0.845571263366307,0.843935089053997,329306,29862.9107780341
1825,18,distance,,2,0.183029090007961,1803110,161486.567855155,0.845572201270485,0.843936045572229,329304,29862.7277489441
1826,19,prune,1,1001,90.226620630476,1804111,161576.794475785,0.846041622311615,0.844407573937911,328303,29772.5011283136
1827,19,prune,2,1000,90.4434402538887,1805111,161667.237916039,0.846510574400656,0.844880235412667,327303,29682.0576880598
1828,19,prune,3,1000,90.1689975766727,1806111,161757.406913616,0.846979526489697,0.845351462637686,326303,29591.8886904831
1829,19,prune,4,1000,89.9667554295895,1807111,161847.373669046,0.847448478578738,0.845821632936173,325303,29501.9219350535
1830,19,prune,5,1000,89.8796928142115,1808111,161937.25336186,0.847917430667778,0.846291348241529,324303,29412.0422422393
1831,19,prune,6,1000,89.677604774272,1809111,162026.930966634,0.848386382756819,0.846760007425725,323303,29322.364637465
1832,19,prune,7,1000,89.5921011058592,1810111,162116.52306774,0.84885533484586,0.847228219763915,322303,29232.7725363591
1833,19,prune,8,1000,89.5865722686174,1811111,162206.109640009,0.849324286934901,0.847696403208154,321303,29143.1859640905
1834,19,prune,9,1000,89.7352200902706,1812111,162295.844860099,0.849793239023942,0.848165363492575,320303,29053.4507440002
1835,19,prune,10,1000,89.7342619579507,1813111,162385.579122057,0.850262191112983,0.848634318769753,319303,28963.7164820423
1836,19,prune,11,1003,90.5748676206799,1814114,162476.153989677,0.850732550058291,0.849107667089823,318300,28873.1416144216
1837,19,prune,12,1025,92.0609113287523,1815139,162568.214901006,0.851213225949558,0.849588781540953,317275,28781.0807030929
1838,19,prune,13,1015,91.358345160571,1816154,162659.573246167,0.851689212319934,0.850066224349782,316260,28689.7223579323
1839,19,prune,14,1003,90.4658159899017,1817157,162750.039062157,0.852159571265242,0.850539002761138,315257,28599.2565419424
1840,19,prune,15,1001,90.9707841095799,1818158,162841.009846266,0.852628992306372,0.851014420158534,314256,28508.2857578328
1841,19,prune,16,1099,99.4760955805808,1819257,162940.485941847,0.853144370652228,0.851534286695103,313157,28408.8096622522
1842,19,prune,17,1000,90.1431738067299,1820257,163030.629115654,0.853613322741269,0.852005378963941,312157,28318.6664884455
1843,19,prune,18,1022,90.8168777541124,1821279,163121.445993408,0.854092591776269,0.852479992039821,311135,28227.8496106914
1844,19,prune,19,1000,90.2136826905022,1822279,163211.659676098,0.854561543865309,0.852951452791248,310135,28137.6359280009
1845,19,prune,20,1000,90.2262669313047,1823279,163301.88594303,0.85503049595435,0.853422979308481,309135,28047.4096610696
1846,19,prune,21,1000,90.2258801191389,1824279,163392.111823149,0.855499448043391,0.853894503804217,308135,27957.1837809504
1847,19,prune,22,1000,90.1702145936369,1825279,163482.282037742,0.855968400132432,0.85436573738942,307135,27867.0135663568
1848,19,prune,23,1000,90.1959167090851,1826279,163572.477954451,0.856437352221473,0.854837105295032,306135,27776.8176496477
1849,19,prune,24,1000,90.4443472937541,1827279,163662.922301745,0.856906304310514,0.855309771510019,305135,27686.373302354
1850,19,prune,25,1000,90.2607424284537,1828279,163753.183044174,0.857375256399555,0.855781478197747,304135,27596.1125599255
1851,19,prune,26,1000,90.2170256440978,1829279,163843.400069818,0.857844208488596,0.856252956419599,303135,27505.8955342814
1852,19,prune,27,1000,90.214813089321,1830279,163933.614882907,0.858313160577636,0.856724423078541,302135,27415.6807211921
1853,19,prune,28,1000,90.2404182147903,1831279,164023.855301122,0.858782112666677,0.857196023551017,301135,27325.4403029773
1854,19,prune,29,1000,90.2524568783379,1832279,164114.107758,0.859251064755718,0.857667686938088,300135,27235.187846099
